ccode;oldctbank;newctbank;csname;cnamer;oldcopf;newcopf;cregnum;oldcregnr;newcregnr;cdreg;lic;strcuraddr;ogrn
450 000 858;;;"КБ ""МИКО-БАНК"" ООО";МИКО-БАНК;ООО;ООО (Паевое);3 195;;;30.12.1994;ОТЗ;115487,  г. Москва, ул. Нагатинская, д. 22, корп. 1;1037700051883
450 001 203;;;"ООО КБ ""МИЛБАНК""";МИЛБАНК;ООО;ООО (Паевое);3 256;;;27.06.1995;ОТЗ;127055,  г. Москва, ул. Новослободская, д. 20;1037739634206
450 042 514;;;"""Миллениум Банк"" (ЗАО)";МИЛЛЕНИУМ БАНК;ЗАО;ЗАО (АО);3 423;;;13.11.2002;ОТЗ;129090, г. Москва, Протопоповский переулок, дом 19, строение 10;1027744004617
450 041 701;;;"АО ""МБ Банк""";МИР БИЗНЕС БАНК;АО;НПАО;3 396;;;30.01.2002;;119034, Москва, р-н Хамовники, ул. Пречистенка, д. 36, строен. 1;1027739669726
520 000 018;;;"АО ""Мираф-Банк""";МИРАФ-БАНК;АО;НПАО;2 244;;;19.01.1993;ОТЗ;644043, город Омск, улица Фрунзе, дом 54;1025500000635
360 000 009;;;"АКБ ""МИРЪ"" (АО)";МИРЪ;АО;НПАО;3 089;;;06.09.1994;ОТЗ;125252, г. Москва, ул. Авиаконструктора Микояна, д. 12;1026300003168
40 000 013;;;"КБ ""МКБ"" (АО)";МКБ;АО;НПАО;2 524;;;05.10.1993;ОТЗ;115280, г. Москва, Пересветов переулок, д. 2/3, подъезды №1,2;1027700053776
512 026 930;НКО;Платежная НКО;"ООО НКО ""МОБИ.Деньги""";МОБИ.ДЕНЬГИ;ООО;ООО (Паевое);3 523;-К;-К;22.10.2013;;125009, г. Москва, пер. Гнездниковский Б., д. 7;1137711000107
512 024 982;НКО;Расчетная НКО;"ООО НКО ""Мобильная карта""";МОБИЛЬНАЯ КАРТА;ООО;ООО (Паевое);3 522;-К;-К;30.07.2013;;195112, город Санкт-Петербург, проспект Малоохтинский, дом 64, литера Б, этаж 8, помещение 23Н;1137800007124
10 000 005;;;"АО КБ ""Модульбанк""";МОДУЛЬБАНК;АО;НПАО;1 927;;;23.06.1992;;Костромская область, г.о. город Кострома, г. Кострома, пл. Октябрьская, д. 1;1022200525841
512 005 896;НКО;Расчетная НКО;"НКО ""МОНЕТА"" (ООО)";МОНЕТА;ООО;ООО (Паевое);3 508;-К;-К;04.06.2012;;"424000, г. Йошкар-Ола, ул. Гоголя, д. 2, строение ""А""";1121200000316
450 000 225;;;"ООО КБ ""Монолит""";МОНОЛИТ;ООО;ООО (Паевое);1 967;;;24.07.1992;ОТЗ;105005,  г. Москва, ул. Радио, д. 7, стр. 1;1027739599535
450 000 712;;;МОРСКОЙ БАНК (АО);МОРСКОЙ БАНК;АО;НПАО;77;;;19.08.1992;;117105, г. Москва, Варшавское шоссе, дом 1А, помещение 1/5;1027700568224
450 000 639;;;"ОАО КБ ""МВКБ""";МОСВОДОКАНАЛБАНК;ОАО;ОАО (АО);2 863;;;25.05.1994;ОТЗ;105062,  г. Москва, Подсосенский переулок, д. 23, стр. 2;1027744003100
450 000 871;;;"АО БАНК ""МОСКВА-СИТИ""";МОСКВА-СИТИ;АО;НПАО;3 247;;;11.04.1995;;115114,  г. Москва, 2-й Кожевнический переулок, д. 7;1027739045124
450 000 842;;;"АО ""МОСКОМБАНК""";МОСКОВСКИЙ КОММЕРЧЕСКИЙ БАНК;АО;НПАО;3 172;;;05.12.1994;;119146,  г. Москва, 1-я Фрунзенская ул. д.5;1027739223687
450 000 226;;;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";МОСКОВСКИЙ КРЕДИТНЫЙ БАНК;ПАО;ПАО;1 978;;;05.08.1992;;107045,  г. Москва, Луков переулок, д. 2, стр. 1;1027739555282
820 000 042;;;АО МОСОБЛБАНК;МОСКОВСКИЙ ОБЛАСТНОЙ БАНК;АО;НПАО;1 751;;;09.04.1992;;107023, г. Москва, ул. Большая Семеновская,  д. 32, стр. 1;1107711000022
450 039 645;;;"КБ ""Москоммерцбанк"" (АО)";МОСКОММЕРЦБАНК;АО;НПАО;3 365;;;11.04.2001;;119017, г. Москва, ул. Малая Ордынка, д. 20, стр. 1;1107711000066
450 000 787;;;"ЗАО ""М БАНК""";МОССТРОЙЭКОНОМБАНК;ЗАО;ЗАО (АО);948;;;23.11.1990;ОТЗ;117393,  г. Москва, ул. Профсоюзная, д. 78, стр. 1;1027739109914
450 000 338;;;"АКБ ""Мострансбанк"" ОАО";МОСТРАНСБАНК;ОАО;ОАО (АО);2 258;;;29.01.1993;ОТЗ;111033, г. Москва, ул. Волочаевская, д. 9, стр. 9;1027739075407
460 000 035;;;"АКБ ""Мосуралбанк"" (АО)";МОСУРАЛБАНК;АО;НПАО;2 468;;;24.08.1993;ОТЗ;115035, г. Москва, Раушская наб., д. 22, стр. 2;1027700429855
