ccode;oldctbank;newctbank;csname;cnamer;oldcopf;newcopf;cregnum;oldcregnr;newcregnr;cdreg;lic;strcuraddr;ogrn
450 000 147;;;"ОАО ""ПРБ""";ПЕРВЫЙ РЕСПУБЛИКАНСКИЙ БАНК;ОАО;ОАО (АО);1 730;;;27.03.1992;ОТЗ;123557,  г. Москва, ул. Пресненский вал, д. 14, стр. 3;1027739042495
700 000 010;;;"КБ ""Первый Экспресс"" (ОАО)";ПЕРВЫЙ ЭКСПРЕСС;ОАО;ОАО (АО);3 237;;;21.03.1995;ОТЗ;300041, Тульская область, г.Тула, ул. Путейская, 1;1027100000036
450 000 272;;;"АКБ ""ПЕРЕСВЕТ"" (ПАО)";ПЕРЕСВЕТ;ПАО;ПАО;2 110;;;13.10.1992;;119049, г. Москва, ул. Шаболовка, д. 10, корп. 2;1027739250285
570 000 002;;;Банк Пермь (АО);ПЕРМЬ;АО;НПАО;875;;;22.11.1990;;614015, г. Пермь,  ул. Куйбышева, 10;1025900000510
512 036 175;НКО;Платежная НКО;"НКО ""Перспектива"" (ООО)";ПЕРСПЕКТИВА;ООО;ООО (Паевое);3 532;-К;-К;11.06.2015;;644033, г. Омск, ул. В.М. Шукшина, дом 9, помещение 9П;1155500000017
400 000 026;НКО;Расчетная НКО;НКО АО ПРЦ;ПЕТЕРБУРГСКИЙ РАСЧЕТНЫЙ ЦЕНТР;АО;НПАО;3 306;-К;-К;18.11.1996;;191023, г.Санкт-Петербург, ул.Садовая, 12/23;1027800000931
400 000 040;;;"АО Банк ""ПСКБ""";ПЕТЕРБУРГСКИЙ СОЦИАЛЬНЫЙ КОМ. БАНК;АО;НПАО;2 551;;;29.10.1993;;191123, Санкт-Петербург, ул. Шпалерная, д. 42, Литера А;1027800000227
450 000 554;;;ООО ПИР Банк;ПИР БАНК;ООО;ООО (Паевое);2 655;;;20.01.1994;ОТЗ;121099,  г. Москва, Новинский бульвар, дом 3 стр. 1;1027739735100
360 000 025;НКО;Расчетная НКО;"НКО ""Платежи и Расчеты"" (АО)";ПЛАТЕЖИ И РАСЧЕТЫ;АО;НПАО;3 324;-Р;-Р;26.12.1997;;"443011, г. Самара, Октябрьский район, ул.Советской Армии, д.238 ""В""";1026300001859
512 056 803;НКО;Расчетная НКО;"ООО РНКО ""Платежный конструктор""";ПЛАТЕЖНЫЙ КОНСТРУКТОР;ООО;ООО (Паевое);3 543;-К;-К;18.04.2022;;197136, г. Санкт-Петербург, ул. Профессора Попова, д.37, литера Щ, офис 609;1227800048068
800 000 007;;;"ОАО Банк ""ПСБ""";ПЛАТЕЖНЫЙ СЕРВИСНЫЙ БАНК;ОАО;ОАО (АО);1 943;;;26.06.1992;ОТЗ;450077, Республика Башкортостан, г.Уфа, ул.Достоевского,100;1020200000424
10 000 008;НКО;Расчетная НКО;"РНКО ""Платежный Центр"" (ООО)";ПЛАТЕЖНЫЙ ЦЕНТР;ООО;ООО (Паевое);3 166;-К;-К;02.12.1994;;630102, город Новосибирск, улица Кирова, дом 86;1025400002968
450 000 393;;;"ООО КБ ""ПЛАТИНА""";ПЛАТИНА;ООО;ООО (Паевое);2 347;;;20.05.1993;ОТЗ;123610,  г. Москва, Краснопресненская наб., дом 12;1027739881091
500 000 007;;;"АО КБ ""Пойдём!""";ПОЙДЁМ!;АО;НПАО;2 534;;;19.10.1993;;127015, г. Москва, ул. Бутырская, д. 76, стр. 1;1025480001073
150 000 001;;;"АО ""Почта Банк""";ПОЧТА БАНК;АО;НПАО;650;;;31.10.1990;;107061, г. Москва, Преображенская пл., д. 8;1023200000010
570 000 006;;;"АО АКИБ ""Почтобанк""";ПОЧТОБАНК;АО;НПАО;1 788;;;30.04.1992;;614096, г. Пермь, ул. Ленина, 68;1025900000059
400 000 001;;;"Банк ""Прайм Финанс"" (АО)";ПРАЙМ ФИНАНС;АО;НПАО;2 758;;;18.03.1994;ОТЗ;197374, Санкт-Петербург, ул.Савушкина, д.126, литера Б, помещение 71-Н;1027800001240
50 000 014;;;"ООО ""Примтеркомбанк""";ПРИМОРСКИЙ ТЕРРИТОРИАЛЬНЫЙ;ООО;ООО (Паевое);21;;;06.12.1991;;690091, Приморский край, г. Владивосток, ул.Семеновская, д.6г;1022500001325
50 000 002;;;"ПАО АКБ ""Приморье""";ПРИМОРЬЕ;ПАО;ПАО;3 001;;;27.07.1994;;690091, Приморский край, г.Владивосток, ул.Светланская, 47;1022500000566
50 000 004;;;"ПАО СКБ Приморья ""Примсоцбанк""";ПРИМСОЦБАНК;ПАО;ПАО;2 733;;;04.03.1994;;690106 Приморский край г.Владивосток Партизанский проспект, 44;1022500001061
710 000 047;;;"АО КБ ""Приобье""";ПРИОБЬЕ;АО;НПАО;537;;;22.10.1990;;628616, Тюменская область, Ханты-Мансийский автономный округ,  г. Нижневартовск, просп. Победы, 18-а;1028600002100
610 000 007;;;Прио-Внешторгбанк (ПАО);ПРИО-ВНЕШТОРГБАНК;ПАО;ПАО;212;;;27.12.1991;;390023, г. Рязань, ул. Есенина,д.82/26;1026200000111
360 000 024;;;"ОАО БАНК ""ПРИОРИТЕТ""";ПРИОРИТЕТ;ОАО;ОАО (АО);3 135;;;19.10.1994;ОТЗ;443086, г.Самара, ул. Ерошевского, 3;1036303380850
450 000 486;;;"КБ ""ПРИСКО КАПИТАЛ БАНК"", АО";ПРИСКО КАПИТАЛ БАНК;АО;НПАО;2 537;;;21.10.1993;ОТЗ;123022,  г. Москва, Б. Предтеченский переулок, д.22;1027739700548
450 000 428;;;"ОАО АКБ ""Пробизнесбанк""";ПРОБИЗНЕСБАНК;ОАО;ОАО (АО);2 412;;;07.07.1993;ОТЗ;119285,  г. Москва, ул. Пудовкина, д. 3;1027700508978
450 001 070;;;"ООО ""ПроКоммерцБанк""";ПРОКОММЕРЦБАНК;ООО;ООО (Паевое);2 996;;;26.07.1994;;127422,  г. Москва, ул. Тимирязевская, дом 1;1037739758022
450 000 435;;;"АКБ ""ПРОМИНВЕСТБАНК"" (ПАО)";ПРОМИНВЕСТБАНК;ПАО;ПАО;2 433;;;26.07.1993;АНН;101000, Москва, ул. Маросейка, д. 9/2, стр. 1;1037739297881
690 000 015;;;"ООО ""Промрегионбанк""";ПРОМРЕГИОНБАНК;ООО;ООО (Паевое);2 123;;;15.10.1992;ОТЗ;115184, г. Москва, ул.Большая Татарская, д. 29;1027000000059
460 000 008;;;"ЗАО ""Промсбербанк""";ПРОМСБЕРБАНК;ЗАО;ЗАО (АО);1 043;;;30.11.1990;ОТЗ;142110, Московская область, г. Подольск, ул. Кирова, д.19;1025000000090
450 000 927;;;"ПАО ""Промсвязьбанк""";ПРОМСВЯЗЬБАНК;ПАО;ПАО;3 251;;;12.05.1995;;109052,  г. Москва, ул.Смирновская, д.10, стр.22;1027739019142
820 000 117;НКО;Расчетная НКО;"РНКО ""ПРОМСВЯЗЬИНВЕСТ"" (ООО)";ПРОМСВЯЗЬИНВЕСТ;ООО;ООО (Паевое);2 761;-К;-К;22.03.1994;;"367003, Республика Дагестан, г.Махачкала, ул.Ирчи-Казака, 2 ""Б """;1020500000333
630 000 009;;;"ООО ""Промсельхозбанк""";ПРОМСЕЛЬХОЗБАНК;ООО;ООО (Паевое);538;;;22.10.1990;;г.Москва, вн.тер.г. муниципальный округ Тверской, пер.Успенский, д.3, стр.2;1026400002012
800 000 012;;;Банк ПТБ (ООО);ПРОМТРАНСБАНК;ООО;ООО (Паевое);2 638;;;30.12.1993;;450008 , Республика Башкортостан, г. Уфа, ул.Ленина, 70;1020200000083
450 000 426;;;"ПАО КБ ""ПФС-БАНК""";ПРОМЫШЛЕННО-ФИНАНСОВОЕ СОТРУДНИЧЕСТВО;ПАО;ПАО;2 410;;;07.07.1993;ОТЗ;119017,  г. Москва, ул. Большая Ордынка, д. 37/4, стр. 1;1027700136408
190 000 009;;;"АО ""Промэнергобанк""";ПРОМЭНЕРГОБАНК;АО;НПАО;2 728;;;04.03.1994;ОТЗ;160009 г. Вологда, ул. Чехова, д. 30;1023500000028
450 016 151;;;"АО ""ПроБанк""";ПРОФЕССИОНАЛ БАНК;АО;НПАО;3 296;;;08.07.1996;;127473,  г. Москва, улица Селезневская, дом 15 А, строение 1;1037739447350
570 000 013;;;"АКБ ""Проинвестбанк"" (АО)";ПРОФЕССИОНАЛЬНЫЙ ИНВЕСТИЦИОННЫЙ БАНК;АО;НПАО;784;;;14.11.1990;ОТЗ;614010, г. Пермь, Комсомольский проспект, 80;1025900000488
450 000 717;;;"ООО КБ ""Пульс Столицы""";ПУЛЬС СТОЛИЦЫ;ООО;ООО (Паевое);3 002;;;28.07.1994;ОТЗ;115114. г. Москва, Дербеневская набережная, д. 11;1027739068158
460 000 006;;;"ОАО ""АБ ""ПУШКИНО""";ПУШКИНО;ОАО;ОАО (АО);391;;;29.12.1992;ОТЗ;141200, Московская область, г. Пушкино, микрорайон Дзержинец, д. 1;1025000003071
450 016 122;;;ООО ПЧРБ Банк;ПЧРБ;ООО;ООО (Паевое);3 291;;;28.05.1996;ОТЗ;119454, г. Москва, ул. Лобачевского, д. 27;1027739125303
512 021 244;НКО;Платежная НКО;"ООО НКО ""ПэйПал РУ""";ПЭЙПАЛ РУ;ООО;ООО (Паевое);3 517;-К;-К;13.03.2013;;125047, г. Москва, ул. Бутырский Вал, д. 10;1137711000041
220 000 015;;;"ПАО НКБ ""РАДИОТЕХБАНК""";РАДИОТЕХБАНК;ПАО;ПАО;1 166;;;12.12.1990;ОТЗ;603155, г. Нижний Новгород, ул. Максима Горького, д. 262, пом. П4;1025200001001
910 000 006;;;"ООО КБ ""Развитие""";РАЗВИТИЕ;ООО;ООО (Паевое);2 729;;;04.03.1994;ОТЗ;369000,  Карачаево-Черкесская Республика, г.Черкесск, ул. Красноармейская, 64;1020900001946
450 000 777;;;"АО Банк ""Развитие-Столица""";РАЗВИТИЕ-СТОЛИЦА;АО;НПАО;3 013;;;03.08.1994;;105064, г. Москва, Нижний Сусальный переулок, д. 5, строение 15;1027739067861
450 016 096;;;"АО ""Райффайзенбанк""";РАЙФФАЙЗЕНБАНК;АО;НПАО;3 292;;;10.06.1996;;119002, г. Москва, Смоленская-Сенная площадь, дом 28;1027739326449
512 028 815;НКО;Расчетная НКО;"ООО НКО ""Расчетные Решения""";РАСЧЕТНЫЕ РЕШЕНИЯ;ООО;ООО (Паевое);3 524;-К;-К;28.01.2014;;119285, г. Москва, муниципальный округ Раменки вн.тер.г., МЖД Киевское 5-й км, д. 1, стр. 1, этаж 4, пом. 23/4;1147711000018
780 000 165;;;"КБ ""РБА"" (ООО)";РБА;ООО;ООО (Паевое);3 413;;;28.05.2002;;119049, г.Москва, Ленинский просп., д. 11, стр.3;1027600000251
512 055 396;НКО — центральный контрагент;НКО ЦК;НКО ЦК РДК (АО);РДК;АО;НПАО;3 540;-ЦК;-ЦК;18.12.2020;;119021, город Москва, ул. Тимура Фрунзе, д. 24, эт.2, пом. I, ком. 1-29;1027739057840
250 000 021;;;"АО ""РЕАЛИСТ БАНК""";РЕАЛИСТ;АО;НПАО;1 067;;;05.12.1990;;109004, г. Москва, ул. Станиславского, д. 4, стр. 1;1023800000124
800 000 008;;;"ПАО АКБ ""РБР""";РЕГИОНАЛЬНЫЙ БАНК РАЗВИТИЯ;ПАО;ПАО;2 782;;;06.04.1994;ОТЗ;105062, г.Москва, Лялин переулок, д. 19, корпус 1, помещение XXIV, комн. 18;1020200000040
450 039 647;;;"ООО КБ ""РБС""";РЕГИОНАЛЬНЫЙ БАНК СБЕРЕЖЕНИЙ;ООО;ООО (Паевое);3 367;;;11.04.2001;ОТЗ;125040, г. Москва, 3-я улица Ямского Поля, д. 18;1027700141490
730 000 005;;;"АО БАНК ""РКБ""";РЕГИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК;АО;НПАО;836;;;20.11.1990;ОТЗ;433508, Ульяновская область, г. Димитровград, ул. Самарская, дом 4;1027300534690
450 039 651;;;"""РЕГНУМ БАНК"" (ООО)";РЕГНУМ;ООО;ООО (Паевое);3 373;;;10.05.2001;ОТЗ;123154, г.Москва, проспект Маршала Жукова, д. 51;1037739295736
750 000 008;;;"БАНК ""РЕЗЕРВ"" (АО)";РЕЗЕРВ;АО;НПАО;2 364;;;03.06.1993;ОТЗ;"454090, г.Челябинск, ул.Труда, д.64 ""А""";1027400001166
450 000 210;;;"ООО КБ ""Ренессанс""";РЕНЕССАНС;ООО;ООО (Паевое);1 939;;;26.06.1992;ОТЗ;119330, г. Москва, Мичуринский пр-т, дом 6, корпус 3;1027739474355
450 039 265;;;"КБ ""Ренессанс Кредит"" (ООО)";РЕНЕССАНС КРЕДИТ;ООО;ООО (Паевое);3 354;;;24.11.2000;;115114, г. Москва, ул. Кожевническая, д. 14;1027739586291
450 043 406;;;"Банк ""РЕСО Кредит"" (АО)";РЕСО КРЕДИТ;АО;НПАО;3 450;;;15.01.2004;;119285, г. Москва, Воробьёвское шоссе, дом 6;1087711000046
450 001 068;;;"""Республиканский Кредитный Альянс"" ООО";РЕСПУБЛИКАНСКИЙ КРЕДИТНЫЙ АЛЬЯНС;ООО;ООО (Паевое);3 017;;;03.08.1994;;109004,  г. Москва, ул.Воронцовская, д.13/14, стр.1;1027739082931
610 000 006;;;"ООО РИКБ ""Ринвестбанк""";РИНВЕСТБАНК;ООО;ООО (Паевое);3 262;;;07.07.1995;ОТЗ;390000, г. Рязань, Первомайский проспект, д.14;1026200007855
512 043 188;НКО;Расчетная НКО;"РНКО ""Р-ИНКАС"" (ООО)";Р-ИНКАС;ООО;ООО (Паевое);3 536;-К;-К;22.12.2016;;127051, город Москва, Малый Каретный переулок, д. 8;1167700076180
700 000 006;НКО;Расчетная НКО;"НКО ""РКЦ ДВ"" (АО)";РКЦ ДВ;АО;НПАО;3 318;-Р;-Р;25.06.1992;;690001, г.Владивосток, улица Махалина, д. 15;1027100000311
450 000 611;;;"ООО КБ ""РОСАВТОБАНК""";РОСАВТОБАНК;ООО;ООО (Паевое);2 767;;;28.03.1994;ОТЗ;123056,  г. Москва, ул. Зоологическая, дом 26, строение 2;1027700067394
450 000 347;;;ПАО РОСБАНК;РОСБАНК;ПАО;ПАО;2 272;;;02.03.1993;;107078,  г. Москва, ул. Маши Порываевой, д. 34;1027739460737
450 000 049;;;"ПАО АРКБ ""Росбизнесбанк""";РОСБИЗНЕСБАНК;ПАО;ПАО;1 405;;;11.03.1991;ОТЗ;115162,  г. Москва, ул. Мытная, д. 44, строение 12, офис 1-54;1027739149778
450 000 097;;;"ПАО ""РосДорБанк""";РОСДОРБАНК;ПАО;ПАО;1 573;;;25.09.1991;;115093,  г. Москва, ул. Дубининская, дом 86;1027739857958
800 000 015;;;РОСКОМСНАББАНК (ПАО);РОСКОМСНАББАНК;ПАО;ПАО;1 398;;;01.03.1991;ОТЗ;450076, Республика Башкортостан, г.Уфа, ул.Гафури, 54;1020200001634
450 039 042;;;"АО ""Россельхозбанк""";РОССЕЛЬХОЗБАНК;АО;НПАО;3 349;;;24.04.2000;;119034, г. Москва, Гагаринский пер., д.3;1027700342890
450 001 181;;;"АО ""РФК-банк""";РОССИЙСКАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ;АО;НПАО;3 099;;;07.05.1993;;123001, г. Москва, Вспольный пер., д. 19;1037744005771
350 000 001;;;"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""";РОССИЙСКИЙ КРЕДИТ;ОАО;ОАО (АО);324;;;23.12.1991;ОТЗ;125252,  г. Москва, ул. Сальвадора Альенде, д. 7;1037739057070
450 000 044;;;РНКБ Банк (ПАО);РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК;ПАО;ПАО;1 354;;;25.01.1991;;295000, Республика Крым, г.Симферополь, улица Набережная имени 60-летия СССР, д. 34;1027700381290
450 001 091;;;"КБ ""РОСПРОМБАНК"" (ООО)";РОССИЙСКИЙ ПРОМЫШЛЕННЫЙ БАНК;ООО;ООО (Паевое);3 204;;;27.01.1995;ОТЗ;125009,  г. Москва, ул. Большая Никитская, дом 17, строение 2;1027739091280
450 001 206;;;"МКИБ ""РОССИТА-БАНК"" ООО";РОССИТА-БАНК;ООО;ООО (Паевое);3 257;;;27.06.1995;;125047,  г. Москва, ул. 1-я Брестская  д.22;1027739254036
400 000 023;;;"АО ""АБ ""РОССИЯ""";РОССИЯ;АО;НПАО;328;;;29.12.1991;;г. Санкт-Петербург, пл. Растрелли, д. 2, стр. 1;1027800000084
30 000 022;;;"ООО КБ ""РостФинанс""";РОСТФИНАНС;ООО;ООО (Паевое);481;;;15.10.1990;;344019, г. Ростов-на-Дону, ул. 1-я Майская, 13а/11а;1022300003021
450 000 622;;;АО РОСЭКСИМБАНК;РОСЭКСИМБАНК;АО;НПАО;2 790;-Г;-Г;18.04.1994;;123610,  г. Москва, Краснопресненская набережная, дом 12;1027739109133
600 000 031;;;"КБ ""РЭБ"" (АО)";РОСЭНЕРГОБАНК;АО;НПАО;2 211;;;21.12.1992;ОТЗ;105062, г. Москва, пер. Подсосенский, д. 30, стр. 3;1027739136622
80 000 019;;;"АО ""Роял Кредит Банк""";РОЯЛ КРЕДИТ БАНК;АО;НПАО;783;;;14.11.1990;;690068, город Владивосток, проспект 100-летия Владивостока, дом 155, литер Б, 3 этаж;1022700000685
450 000 247;;;"АО БАНК ""РСКБ""";РСКБ;АО;НПАО;2 050;;;09.09.1992;ОТЗ;119002,  г. Москва, Денежный переулок, д. 7, корп. 2;1027739435646
600 000 004;;;"АО КБ ""РУБанк""";РУБАНК;АО;НПАО;2 813;;;29.04.1994;ОТЗ;127055, г. Москва, ул. Тихвинская, д. 20;1026100002092
450 001 172;;;"АО КБ ""РУБЛЕВ""";РУБЛЕВ;АО;НПАО;3 098;;;22.09.1994;ОТЗ;105066, г. Москва, Елоховский проезд, д. 3, стр. 2;1027700159233
450 000 309;;;"КБ ""Рублевский"" ООО";РУБЛЕВСКИЙ;ООО;ООО (Паевое);2 192;;;16.12.1992;ОТЗ;119991,  г. Москва, ул. Льва Толстого, д.5/1, стр.1;1037739599402
450 000 976;;;"АО ""РУНА-БАНК""";РУНА-БАНК;АО;НПАО;3 207;;;27.01.1995;ОТЗ;101000, г. Москва, ул. Мясницкая, дом 42/2, строение 2;1027739295968
450 000 893;;;"АО ""РУНЭТБАНК""";РУНЭТБАНК;АО;НПАО;2 829;;;11.05.1994;АНН;123056,  г. Москва, ул.Гашека, д.9, стр.1, корп. 4;1037711002581
400 000 041;;;"АО ""Рускобанк""";РУСКОБАНК;АО;НПАО;138;;;11.04.1991;ОТЗ;188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29;1027800004517
450 041 924;;;"АО КБ ""РУСНАРБАНК""";РУСНАРБАНК;АО;НПАО;3 403;;;11.04.2002;;115184, город Москва, Озерковский переулок, дом 3;1027739028855
70 000 011;;;"ООО ""РУСБС""";РУССКИЙ БАНК СБЕРЕЖЕНИЙ;ООО;ООО (Паевое);779;;;14.11.1990;;Ставропольский край, город-курорт Ессентуки, г. Ессентуки, ул. Гагарина, д. 13;1022600000114
450 042 606;;;"""РИАБАНК"" (АО)";РУССКИЙ ИНВЕСТИЦИОННЫЙ АЛЬЯНС;АО;НПАО;3 434;;;17.04.2003;ОТЗ;127055, Москва, Вадковский пер., д. 5, стр. 1;1097711000122
500 000 006;;;"КБ ""Русский ипотечный банк"" (ООО)";РУССКИЙ ИПОТЕЧНЫЙ БАНК;ООО;ООО (Паевое);1 968;;;14.07.1992;ОТЗ;119180, г. Москва, ул. Большая Полянка, дом 2, строение 2;1025400001637
450 001 006;;;"АО ""РМБ"" БАНК";РУССКИЙ МЕЖДУНАРОДНЫЙ БАНК;АО;НПАО;3 123;;;11.10.1994;ОТЗ;119034,  г. Москва, ул. Пречистенка, д.36, строение 1;1077711000036
580 000 005;;;"ПАО КБ ""РусьРегионБанк""";РУССКИЙ РЕГИОНАЛЬНЫЙ БАНК;ПАО;ПАО;685;;;01.11.1990;;108814, Российская Федерация, г. Москва, поселение Сосенское, Калужское шоссе, 24-й км, дом 1, стр. 1, помещение 2Н/9;1026000001983
450 000 010;;;БАНК РСБ 24 (АО);РУССКИЙ СЛАВЯНСКИЙ БАНК;АО;НПАО;1 073;;;05.12.1990;ОТЗ;129090, г. Москва,  просп. Мира, д. 3, строение 3;1027739837366
450 000 359;;;"АО ""Банк Русский Стандарт""";РУССКИЙ СТАНДАРТ;АО;НПАО;2 289;;;31.03.1993;;105187, г. Москва, ул. Ткацкая, д. 36;1027739210630
450 000 938;;;"АО ""РУССТРОЙБАНК""";РУССКИЙ СТРОИТЕЛЬНЫЙ БАНК;АО;НПАО;3 205;;;27.01.1995;ОТЗ;109004,  г. Москва, Большой Дровяной переулок, д. 7/9, стр. 1;1027739327880
450 000 945;;;"КБ ""РТБК"" (ООО)";РУССКИЙ ТОРГОВЫЙ БАНК;ООО;ООО (Паевое);2 842;;;16.05.1994;ОТЗ;119021,  г. Москва, ул. Тимура Фрунзе, д. 11, строение 60 А;1037739314348
70 000 009;;;"АКБ ""Русский Трастовый Банк"" (АО)";РУССКИЙ ТРАСТОВЫЙ БАНК;АО;НПАО;1 139;;;10.12.1990;ОТЗ;125009, г. Москва, улица Большая Никитская, дом 16;1022600000158
910 000 005;;;"ПАО АКБ ""РФА""";РУССКИЙ ФИНАНСОВЫЙ АЛЬЯНС;ПАО;ПАО;2 035;;;26.08.1992;ОТЗ;127051, г. Москва, Малый Каретный пер.,  д. 11-13, стр. 1;1020900001770
450 001 175;;;"""Русьуниверсалбанк"" (ООО)";РУСЬУНИВЕРСАЛБАНК;ООО;ООО (Паевое);3 293;;;24.06.1996;;105064, г. Москва, Малый Казенный пер., д.14, стр.1;1027739671288
50 000 022;;;"АО КБ ""САММИТ БАНК""";САММИТ БАНК;АО;НПАО;85;;;22.04.1991;;690106, Приморский край, г.Владивосток, пр. Красного Знамени,3;1022500001930
400 002 619;;;Санкт-Петербургский банк инвестиций (АО);САНКТ-ПЕТЕРБУРГСКИЙ БАНК ИНВЕСТИЦИЙ;АО;НПАО;3 468;;;15.01.2007;;197101, г. Санкт-Петербург, ул. Большая Монетная, дом 16, корпус 30, Литер А;1077800000167
630 000 001;;;"ООО Банк ""Саратов""";САРАТОВ;ООО;ООО (Паевое);330;;;28.06.1990;;410071, г.Саратов, ул.Шелковичная, 177;1026400002089
220 000 012;;;"АО ""САРОВБИЗНЕСБАНК""";САРОВБИЗНЕСБАНК;АО;НПАО;2 048;;;28.08.1992;;607188, Нижегородская область, г.Саров, улица Силкина, 13;1025200001254
450 000 806;;;"Коммерческий банк ""СДБ"" (ООО)";САХАДАЙМОНДБАНК;ООО;ООО (Паевое);3 272;;;09.10.1995;ОТЗ;101000,  г. Москва, Колпачный пер., д.9, стр.1;1027739200884
350 000 004;;;ПАО Сбербанк;СБЕРБАНК РОССИИ;ПАО;ПАО;1 481;;;20.06.1991;;Российская Федерация, город Москва, улица Вавилова, дом 19;1027700132195
630 000 019;;;"АО ""Свой Банк""";СВОЙ БАНК;АО;НПАО;3 223;;;28.02.1995;;121096, г. Москва, вн. тер. г. Муниципальный округ Филевский парк, ул. Василисы Кожиной, д. 1, офис №804.8;1026400001870
450 000 119;;;"""СДМ-Банк"" (ПАО)";СДМ-БАНК;ПАО;ПАО;1 637;;;29.11.1991;;125424,  г. Москва, Волоколамское шоссе, д.73;1027739296584
110 000 005;НКО;Расчетная НКО;"ЗАО ""СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА""";СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА;ЗАО;ЗАО (АО);3 317;-Р;-Р;09.02.1993;ОТЗ;163000, г. Архангельск, пр. Советских Космонавтов, д.52;1022900001849
110 000 002;;;"АО КБ ""Северный Кредит""";СЕВЕРНЫЙ КРЕДИТ;АО;НПАО;2 398;;;25.06.1993;ОТЗ;160000, Вологодская область, г. Вологда, ул. Герцена, д. 27;1022900001772
870 000 001;;;"""Северный Народный Банк"" (АО)";СЕВЕРНЫЙ НАРОДНЫЙ БАНК;АО;НПАО;2 721;;;25.02.1994;;167000, Республика Коми, г.Сыктывкар, ул.Первомайская, 68;1021100000074
450 000 612;;;"АКБ ""СВА"" (АО)";СЕВЕРО-ВОСТОЧНЫЙ АЛЬЯНС;АО;НПАО;2 768;;;31.03.1994;ОТЗ;127055,  г. Москва, ул.Сущевская, д.16, стр.3;1027739267390
512 004 380;;;"""СеверСтройБанк"" АО";СЕВЕРСТРОЙБАНК;АО;НПАО;3 507;;;11.03.2012;;160009, г. Вологда, ул. Мальцева, д.52.;1123500000216
600 000 027;;;"ПАО КБ ""Сельмашбанк""";СЕЛЬМАШБАНК;ПАО;ПАО;106;;;06.08.1991;;344029, г. Ростов-на-Дону, пр. Сельмаш, 102;1026100002026
450 001 209;;;"Банк ""СЕРВИС РЕЗЕРВ"" (АО)";СЕРВИС РЕЗЕРВ;АО;НПАО;2 034;;;28.08.1992;;101000, город Москва, улица Садовая-Черногрязская, дом 22, строение 3;1027739058720
970 000 014;;;Банк СБРР (ООО);СИБИРСКИЙ БАНК РЕКОНСТРУКЦИИ И РАЗВИТИЯ;ООО;ООО (Паевое);1 284;;;25.12.1990;ОТЗ;625003, г. Тюмень, ул. Клары Цеткин, дом 61, корп. 1/2;1022100008336
710 000 004;;;"ОАО ""СИБНЕФТЕБАНК""";СИБНЕФТЕБАНК;ОАО;ОАО (АО);385;;;06.09.1991;ОТЗ;625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.;1027200000321
10 000 012;;;"""СИБСОЦБАНК"" ООО";СИБСОЦБАНК;ООО;ООО (Паевое);2 015;;;21.08.1992;;656049, Алтайский край, г.Барнаул, пр-кт Ленина,д. 61а;1022200525819
520 000 011;;;"Банк ""СИБЭС"" (АО)";СИБЭС;АО;НПАО;208;;;24.05.1993;ОТЗ;644007, г.Омск, ул. Рабиновича, 132/134;1025500000459
730 000 010;;;"ОАО ГБ ""Симбирск""";СИМБИРСК;ОАО;ОАО (АО);653;;;31.10.1990;ОТЗ;432017, г. Ульяновск, ул.Карла Маркса, дом 5;1027300000232
650 000 021;;;АО Банк Синара;СИНАРА;АО;НПАО;705;;;02.11.1990;;620026, г.Екатеринбург,ул. Куйбышева, 75;1026600000460
450 000 939;;;"ООО КБ ""СИНКО-БАНК""";СИНКО-БАНК;ООО;ООО (Паевое);2 838;;;16.05.1994;;107045,  г. Москва, Последний переулок, д.11, стр.1;1027739563610
450 000 984;;;"КБ ""СИСТЕМА"" ООО";СИСТЕМА;ООО;ООО (Паевое);2 846;;;17.05.1994;;121096, г. Москва, ул. Василисы Кожиной, д. 1, этаж 1, комнаты 1-30;1027739919954
400 000 014;;;"АО ""Сити Инвест Банк""";СИТИ ИНВЕСТ БАНК;АО;НПАО;3 194;;;30.12.1994;;191187, г. Санкт-Петербург, ул. Шпалерная, д.2/4, литер А;1027800000095
450 000 496;;;"АО КБ ""Ситибанк""";СИТИБАНК;АО;НПАО;2 557;;;01.11.1993;;125047,  г. Москва, ул. Гашека, д. 8-10, стр. 1;1027700431296
450 000 037;;;"АКБ ""СЛАВИЯ"" (АО)";СЛАВИЯ;АО;НПАО;2 664;;;27.01.1994;;117292,  г. Москва, ул. Кедрова, д.5А;1027739228758
490 000 001;;;"АО НКБ ""СЛАВЯНБАНК""";СЛАВЯНБАНК;АО;НПАО;804;;;15.11.1990;;173004  Новгородская обл., г.Великий Новгород, ул.Черемнова-Конюхова, д.12;1025300000175
450 000 668;;;"АКБ ""СЛАВЯНСКИЙ БАНК"" (ЗАО)";СЛАВЯНСКИЙ БАНК;ЗАО;ЗАО (АО);383;;;13.01.1992;ОТЗ;109544,  г. Москва, ул. Большая  Андроньевская, д.17;1027739121849
