,REGN_GKO,STR,KORR_P_20190701,KORR_M_20190701,VSEGO20190701,REGN_GKO,STR,KORR_P_20180101,KORR_M_20180101,VSEGO20180101,REGN_GKO,STR,KORR_P_20190101,KORR_M_20190101,VSEGO20190101,REGN_GKO,STR,KORR_P_20180701,KORR_M_20180701,VSEGO20180701,REGN_GKO,STR,KORR_P_20190401,KORR_M_20190401,VSEGO20190401,REGN_GKO,STR,KORR_P_20201001,KORR_M_20201001,VSEGO20201001,REGN_GKO,STR,KORR_P_20171001,KORR_M_20171001,VSEGO20171001,REGN_GKO,STR,KORR_P_20180401,KORR_M_20180401,VSEGO20180401,REGN_GKO,STR,KORR_P_20211001,KORR_M_20211001,VSEGO20211001,REGN_GKO,STR,KORR_P_20200101,KORR_M_20200101,VSEGO20200101,REGN_GKO,STR,KORR_P_20210701,KORR_M_20210701,VSEGO20210701,REGN_GKO,STR,KORR_P_20200701,KORR_M_20200701,VSEGO20200701,REGN_GKO,STR,KORR_P_20210101,KORR_M_20210101,VSEGO20210101,REGN_GKO,STR,KORR_P_20181001,KORR_M_20181001,VSEGO20181001,REGN_GKO,STR,KORR_P_20210401,KORR_M_20210401,VSEGO20210401,REGN_GKO,STR,KORR_P_20191001,KORR_M_20191001,VSEGO20191001,REGN_GKO,STR,KORR_P_20200401,KORR_M_20200401,VSEGO20200401
10,1,13,0.0,,297202.0,1.0,14,0.0,,363804.0,1.0,14,0.0,,467325.0,1.0,14,0.0,,447622.0,1.0,13,0.0,,439177.0,1.0,13,0.0,,348912.0,1.0,14,0.0,,430759.0,1.0,14,0.0,,333035.0,1.0,13,0.0,,316641.0,1.0,13,0.0,,298105.0,1.0,13,0.0,,341438.0,1.0,13,0.0,,333745.0,1.0,13,0.0,,349087.0,1.0,14,0.0,,476301.0,1.0,13,0.0,,276513.0,1.0,13,0.0,,275696.0,1.0,13,0.0,,340962.0
11,1,14,,-21888140.0,1335384977.0,1.0,15,,-19478254.0,1189608803.0,1.0,15,,-22989473.0,1374133008.0,1.0,15,,-20400101.0,1220379918.0,1.0,14,,-22617810.0,1466662752.0,1.0,14,,-24025759.0,1341692230.0,1.0,15,,-16143746.0,1104797553.0,1.0,15,,-18001890.0,1197484914.0,1.0,14,,-60450078.0,1235436781.0,1.0,14,,-27715697.0,1230636248.0,1.0,14,,-61380750.0,1288362395.0,1.0,14,,-26827300.0,1443912743.0,1.0,14,,-26526262.0,1296402252.0,1.0,15,,-20622121.0,1224680027.0,1.0,14,,-26561962.0,1281399098.0,1.0,14,,-26958999.0,1391110913.0,1.0,14,,-29698607.0,1562648322.0
12,1,15,,-22337673.0,1065934739.0,1.0,16,0.0,,0.0,1.0,16,0.0,,0.0,1.0,16,0.0,,0.0,1.0,15,,-22187975.0,1190921520.0,1.0,15,,-27677113.0,1012291970.0,1.0,16,0.0,,0.0,1.0,16,0.0,,0.0,1.0,15,,-42601337.0,946016427.0,1.0,15,,-28019948.0,958737800.0,1.0,15,,-43444442.0,993964590.0,1.0,15,,-27862879.0,1127135333.0,1.0,15,,-30133573.0,975322925.0,1.0,16,0.0,,0.0,1.0,15,,-29770993.0,973478349.0,1.0,15,,-27016008.0,1112512651.0,1.0,15,,-30790437.0,1221664132.0
13,1,15.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0,1.0,15.1,0.0,,0.0
14,1,15.2,0.0,,0.0,1.0,17,,-16255087.0,85468635.0,1.0,17,,-21771030.0,78779834.0,1.0,17,,-17366241.0,70589996.0,1.0,15.2,0.0,,0.0,1.0,15.2,0.0,,0.0,1.0,17,,-14293149.0,87573640.0,1.0,17,,-15436752.0,63753206.0,1.0,15.2,0.0,,50215.0,1.0,15.2,0.0,,0.0,1.0,15.2,0.0,,40635.0,1.0,15.2,0.0,,0.0,1.0,15.2,0.0,,0.0,1.0,17,,-18568461.0,84051825.0,1.0,15.2,0.0,,0.0,1.0,15.2,0.0,,0.0,1.0,15.2,0.0,,0.0
15,1,15.3,,-22005761.0,89462772.0,1.0,18,,-696639.0,806114802.0,1.0,18,,-447245.0,1013300663.0,1.0,18,,-299146.0,868390479.0,1.0,15.3,,-21564308.0,159892903.0,1.0,15.3,,-27379239.0,22770629.0,1.0,18,,-267142.0,744433438.0,1.0,18,,-127370.0,835787233.0,1.0,15.3,,-40849539.0,72169245.0,1.0,15.3,,-27450225.0,96415880.0,1.0,15.3,,-42802917.0,60164461.0,1.0,15.3,,-27528789.0,67428867.0,1.0,15.3,,-29183397.0,29060902.0,1.0,18,,-182359.0,863778880.0,1.0,15.3,,-29203238.0,23663581.0,1.0,15.3,,-26249090.0,96224839.0,1.0,15.3,,-29402356.0,42650426.0
16,1,15.4,,-331912.0,722693864.0,1.0,18.1,0.0,,218499336.0,1.0,18.1,0.0,,246846695.0,1.0,18.1,0.0,,221605110.0,1.0,15.4,,-623667.0,789452361.0,1.0,15.4,,-297874.0,715147266.0,1.0,18.1,0.0,,211301793.0,1.0,18.1,0.0,,209811973.0,1.0,15.4,,-1751798.0,588258009.0,1.0,15.4,,-569723.0,594993398.0,1.0,15.4,,-641525.0,656002016.0,1.0,15.4,,-334090.0,795542262.0,1.0,15.4,,-950176.0,674945395.0,1.0,18.1,0.0,,228437167.0,1.0,15.4,,-567755.0,683822997.0,1.0,15.4,,-766918.0,750276639.0,1.0,15.4,,-1388081.0,896687659.0
17,1,15.5,0.0,,253731379.0,1.0,19,0.0,,26375742.0,1.0,19,,-913.0,44121676.0,1.0,19,0.0,,31462245.0,1.0,15.5,0.0,,241529708.0,1.0,15.5,0.0,,274374075.0,1.0,19,0.0,,24673056.0,1.0,19,0.0,,31824150.0,1.0,15.5,0.0,,265514022.0,1.0,15.5,0.0,,267328522.0,1.0,15.5,0.0,,260018524.0,1.0,15.5,0.0,,264164204.0,1.0,15.5,0.0,,271316628.0,1.0,19,0.0,,36443423.0,1.0,15.5,0.0,,265991771.0,1.0,15.5,0.0,,266011170.0,1.0,15.5,0.0,,282326047.0
18,1,15.6,0.0,,46724.0,1.0,19.1,0.0,,26375742.0,1.0,19.1,,-913.0,44121676.0,1.0,19.1,0.0,,31462245.0,1.0,15.6,0.0,,46548.0,1.0,15.6,0.0,,0.0,1.0,19.1,0.0,,24673056.0,1.0,19.1,0.0,,31824150.0,1.0,15.6,0.0,,20024936.0,1.0,15.6,0.0,,0.0,1.0,15.6,0.0,,17738954.0,1.0,15.6,0.0,,0.0,1.0,15.6,0.0,,0.0,1.0,19.1,0.0,,36443423.0,1.0,15.6,0.0,,0.0,1.0,15.6,0.0,,3.0,1.0,15.6,0.0,,0.0
19,1,16,0.0,,33065346.0,1.0,19.2,0.0,,0.0,1.0,19.2,0.0,,0.0,1.0,19.2,0.0,,0.0,1.0,16,0.0,,37979173.0,1.0,16,0.0,,80941124.0,1.0,19.2,0.0,,0.0,1.0,19.2,0.0,,0.0,1.0,16,,-765803.0,39527108.0,1.0,16,0.0,,36365304.0,1.0,16,,-780392.0,49597720.0,1.0,16,0.0,,65244526.0,1.0,16,0.0,,70186784.0,1.0,19.2,0.0,,0.0,1.0,16,0.0,,58412038.0,1.0,16,0.0,,37094313.0,1.0,16,0.0,,86358328.0
