,REGN_GKO,STR,20171001,20180101,20180401,20180701,20181001,20190101,20190401,20190701,20191001,20200101,20200401,20200701,20201001,20210101,20210401,20210701,20211001,20230701,20231001,20240101
0,1,1,10635086.0,11771672.0,9896604.0,10036567.0,9089270.0,12091355.0,10358528.0,10851933.0,9404977.0,10973213.0,19294002.0,17295651.0,16142639.0,14704211.0,13068725.0,12620484.0,10708255.0,21037937.0,28341362.0,21420053.0
1,1,10,23171855.0,26010212.0,23841457.0,24095925.0,23580097.0,25511387.0,7378077.0,7404857.0,7513675.0,8502550.0,8346413.0,8059469.0,7826953.0,7487232.0,7494913.0,7260470.0,7082979.0,7096683.0,6468995.0,7003594.0
2,1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,10.2,,,,,,,7378077.0,7404857.0,7513675.0,8502550.0,8346413.0,8059469.0,7826953.0,7487232.0,7494913.0,7260470.0,7082979.0,7096683.0,6468995.0,7003594.0
4,1,10.3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,11,6970775.0,7240396.0,7478354.0,7287386.0,7065474.0,7214037.0,858199.0,948911.0,663716.0,4651791.0,4593886.0,4542325.0,6545833.0,7918532.0,7676602.0,8488311.0,8544685.0,4153357.0,6010250.0,3163474.0
6,1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,851036.0,659314.0,656553.0,4363814.0,4586723.0,3929082.0,6530617.0,7670373.0,7550956.0,8480161.0,7978256.0,4146179.0,6003072.0,1613587.0
7,1,11.1.1,,,,,,,188140.0,0.0,0.0,618435.0,618435.0,0.0,2521591.0,3483665.0,3483665.0,4261482.0,3583395.0,3832753.0,5724567.0,1329472.0
8,1,11.1.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,11.2,6970775.0,7240396.0,7478354.0,7287386.0,7065474.0,7214037.0,,,,,,,,,,,,,,
10,1,11.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
11,1,12,1667076.0,1642328.0,1974601.0,2231702.0,2459201.0,3334473.0,18168434.0,19511417.0,21042132.0,6793401.0,15593969.0,20001256.0,18488858.0,15202545.0,12344031.0,9824664.0,7393633.0,,,
12,1,12.1,1659912.0,1635165.0,1967438.0,2224530.0,2452038.0,2920733.0,,,,,,,,,,,,,,
13,1,13,9004378.0,9854629.0,9707181.0,9247805.0,10287095.0,11155032.0,439177.0,297202.0,275696.0,298105.0,340962.0,333745.0,348912.0,349087.0,276513.0,341438.0,316641.0,179810.0,181759.0,196885.0
14,1,14,430759.0,363804.0,333035.0,447622.0,476301.0,467325.0,1466662752.0,1335384977.0,1391110913.0,1230636248.0,1562648322.0,1443912743.0,1341692230.0,1296402252.0,1281399098.0,1288362395.0,1235436781.0,1150299245.0,1256294475.0,1127453620.0
15,1,15,1104797553.0,1189608803.0,1197484914.0,1220379918.0,1224680027.0,1374133008.0,1190921520.0,1065934739.0,1112512651.0,958737800.0,1221664132.0,1127135333.0,1012291970.0,975322925.0,973478349.0,993964590.0,946016427.0,778659328.0,846427748.0,746847345.0
16,1,15.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,15.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40635.0,50215.0,0.0,0.0,0.0
18,1,15.3,,,,,,,159892903.0,89462772.0,96224839.0,96415880.0,42650426.0,67428867.0,22770629.0,29060902.0,23663581.0,60164461.0,72169245.0,31860664.0,41471825.0,26036517.0
19,1,15.4,,,,,,,789452361.0,722693864.0,750276639.0,594993398.0,896687659.0,795542262.0,715147266.0,674945395.0,683822997.0,656002016.0,588258009.0,546376230.0,593497748.0,513817097.0
20,1,15.5,,,,,,,241529708.0,253731379.0,266011170.0,267328522.0,282326047.0,264164204.0,274374075.0,271316628.0,265991771.0,260018524.0,265514022.0,200422434.0,211458175.0,206993731.0
21,1,15.6,,,,,,,46548.0,46724.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17738954.0,20024936.0,0.0,0.0,0.0
22,1,16,0.0,0.0,0.0,0.0,0.0,0.0,37979173.0,33065346.0,37094313.0,36365304.0,86358328.0,65244526.0,80941124.0,70186784.0,58412038.0,49597720.0,39527108.0,57834720.0,76573404.0,56228259.0
23,1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44301392.0,50930888.0,40951912.0
24,1,16.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,16.3,,,,,,,3839452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187963.0,177162.0,179955.0
26,1,16.4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-780392.0,0.0,0.0,0.0,0.0
27,1,16.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
28,1,16.6,,,,,,,,,,,,,,,,19814986.0,12614472.0,,,
29,1,17,87573640.0,85468635.0,63753206.0,70589996.0,84051825.0,78779834.0,889309.0,1574078.0,1303207.0,4060847.0,4149201.0,4423631.0,4167162.0,4439906.0,4237825.0,4380034.0,4541607.0,10285.0,552375.0,10285.0
